Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R1,R4,R5,R6",R_0402,C17168,4
120Ω,"R2,R7",R_0402,C25079,2
XDRJ-1609-002,U2,RJ45-TH_XDRJ-1609-002,C7498193,1
CH334R,U1,QSOP-16_3.9x4.9mm_P0.635mm,,1
10u,C5,C_0603_1608Metric,,1
SW_DIP_x02,SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,,1
22R,R11,R_0402_1005Metric,,1
22R,R12,R_0402_1005Metric,,1
VCC_IN,J5,XT60-RightAngle-Adapter,,1
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
22R,R9,R_0402_1005Metric,,1
1u,C6,C_0603_1608Metric,,1
10u,C3,C_0603_1608Metric,,1
100n,C4,C_0402_1005Metric,,1
100n,C7,C_0402_1005Metric,,1
22R,R10,R_0402_1005Metric,,1
Conn_01x04,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
Conn_01x04,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
1k,R20,R_0402_1005Metric,,1
1k,R19,R_0402_1005Metric,,1
1k,R16,R_0402_1005Metric,,1
1k,R15,R_0402_1005Metric,,1
