Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10u,C_0603_1608Metric,191.8,-114.620001,180.0,top
C4,100n,C_0402_1005Metric,191.2,-115.820001,180.0,top
C5,10u,C_0603_1608Metric,191.7,-119.220001,180.0,top
C6,1u,C_0603_1608Metric,191.7,-120.720001,180.0,top
C7,100n,C_0402_1005Metric,191.2,-118.020001,180.0,top
J1,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,189.54,-106.450001,0.0,top
J3,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,189.54,-99.680001,0.0,top
J5,VCC_IN,XT60-RightAngle-Adapter,156.6,-114.14,-90.0,top
R1,0Ω,R_0603,188.16,-94.240001,0.0,top
R10,22R,R_0402_1005Metric,186.85,-112.130001,-90.0,top
R11,22R,R_0402_1005Metric,185.86,-112.130001,90.0,top
R12,22R,R_0402_1005Metric,184.86,-112.130001,-90.0,top
R15,1k,R_0402_1005Metric,184.15846,-128.64,0.0,top
R16,1k,R_0402_1005Metric,184.15846,-130.64,0.0,top
R19,1k,R_0402_1005Metric,182.29846,-103.54,-90.0,top
R2,120Ω,R_0603,183.73,-93.270001,-90.0,top
R20,1k,R_0402_1005Metric,167.43,-101.270001,0.0,top
R3,0Ω,R_0603,188.14,-95.510001,0.0,top
R4,0Ω,R_0603,188.1,-91.480001,180.0,top
R5,0Ω,R_0603,188.11,-92.740001,180.0,top
R6,120Ω,R_0603,182.42,-92.510001,90.0,top
R9,22R,R_0402_1005Metric,187.85,-112.130001,-90.0,top
SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,178.03846,-96.48,-90.0,top
U1,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,187.4775,-117.180001,-90.0,top
U2,XDRJ-1609-002,RJ45-TH_XDRJ-1609-002,173.04846,-115.695,0.0,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,187.62,-123.610001,0.0,top
